BAIRRO,CASOS_CONFIRMADOS,COEFICIENTE_INCIDENCIA,POPULACAO,RECUPERADOS,CIDADE,procurar,raw,LATITUDE,LONGITUDE,POINT
Boa Viagem,335,144.27,2322,281,Salvador,"Salvador, Boa Viagem","Boa Viagem, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-129.317.767,-385.117.881,"12 55m 54.3961s S, 38 30m 42.4372s W"
Boa Vista de Brotas,46,15.52,2964,40,Salvador,"Salvador, Boa Vista de Brotas","Boa Vista de Brotas, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-129.829.256,-385.003.987,"12 58m 58.5322s S, 38 30m 1.43532s W"
Boa Vista de Sao Caetano,1358,76.78,17688,1300,Salvador,"Salvador, Boa Vista de Sao Caetano","Boa Vista de São Caetano, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, 41275-194, Brasil",-129.259.002,-384.765.003,"12 55m 33.2407s S, 38 28m 35.4011s W"
Boca da Mata,708,87.75,8068,677,Salvador,"Salvador, Boca da Mata","Boca da Mata, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-129.002.501,-383.875.179,"12 54m 0.90036s S, 38 23m 15.0644s W"
Boca do Rio,4189,87.21,48032,4028,Salvador,"Salvador, Boca do Rio","Boca do Rio, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-129.774.493,-384.279.508,"12 58m 38.8175s S, 38 25m 40.6229s W"
Bom Jua,97,6.25,15528,74,Salvador,"Salvador, Bom Jua","Bom Juá, Rodovia Engenheiro Vasco Filho, Calabetão, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, 40354-135, Brasil",-1.294.071.195,-3.847.052.094.387.120,"12 56m 26.563s S, 38 28m 13.8754s W"
Bonfim,1511,159.96,9446,1439,Salvador,"Salvador, Bonfim","Bonfim, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-129.256.811,-385.082.913,"12 55m 32.452s S, 38 30m 29.8487s W"
Brotas,7861,112.05,70158,7566,Salvador,"Salvador, Brotas","Brotas, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-129.872.478,-384.897.444,"12 59m 14.0921s S, 38 29m 23.0798s W"
Cabula,4657,195.11,23869,4495,Salvador,"Salvador, Cabula","Cabula, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-12.956.494,-384.635.954,"12 57m 23.3784s S, 38 27m 48.9434s W"
Cabula VI,1556,145.04,10728,1482,Salvador,"Salvador, Cabula VI","Cabula VI, COHAB, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-12.955.436.599.999.900,-3.843.828.698.794.810,"12 57m 19.5718s S, 38 26m 17.8332s W"
Caixa D'Agua,2276,101.4,22446,2178,Salvador,"Salvador, Caixa D'Agua","Caixa D'Água, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, 40320-010, Brasil",-129.581.223,-384.941.411,"12 57m 29.2403s S, 38 29m 38.908s W"
Cajazeiras II,111,97.63,1137,78,Salvador,"Salvador, Cajazeiras II","Cajazeiras, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, 41338-700, Brasil",-12.899.938,-384.081.574,"12 53m 59.7768s S, 38 24m 29.3666s W"
Cajazeiras IV,234,69.56,3364,229,Salvador,"Salvador, Cajazeiras IV","Cajazeiras, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, 41338-700, Brasil",-12.899.938,-384.081.574,"12 53m 59.7768s S, 38 24m 29.3666s W"
Cajazeiras V,344,63.45,5422,322,Salvador,"Salvador, Cajazeiras V","Cajazeiras, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, 41338-700, Brasil",-12.899.938,-384.081.574,"12 53m 59.7768s S, 38 24m 29.3666s W"
Cajazeiras VI,288,39.23,7341,270,Salvador,"Salvador, Cajazeiras VI","Cajazeiras, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, 41338-700, Brasil",-12.899.938,-384.081.574,"12 53m 59.7768s S, 38 24m 29.3666s W"
Cajazeiras VII,389,85.99,4524,378,Salvador,"Salvador, Cajazeiras VII",,-12.889.866,-38.428.085,
Cajazeiras VIII,913,70.16,13013,871,Salvador,"Salvador, Cajazeiras VIII",,-12.902.097,-38.419.885,
Cajazeiras X,737,86.57,8513,709,Salvador,"Salvador, Cajazeiras X","Cajazeiras X, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, 41340-480, Brasil",-128.928.614,-384.114.996,"12 53m 34.301s S, 38 24m 41.3986s W"
Cajazeiras XI,1353,80.06,16899,1315,Salvador,"Salvador, Cajazeiras XI","Cajazeiras XI, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, 41341-590, Brasil",-128.795.528,-384.062.022,"12 52m 46.3901s S, 38 24m 22.3279s W"
Calabar,197,30.38,6484,190,Salvador,"Salvador, Calabar","Calabar, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-13.003.251,-385.152.233,"13 0m 11.7036s S, 38 30m 54.8039s W"
Calabetao,546,74.82,7298,521,Salvador,"Salvador, Calabetao","Calabetão, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, 41275-194, Brasil",-129.326.581,-384.697.268,"12 55m 57.5692s S, 38 28m 11.0165s W"
Calcada,240,47.77,5024,228,Salvador,"Salvador, Calcada","Calçada, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-129.448.131,-384.988.618,"12 56m 41.3272s S, 38 29m 55.9025s W"
Caminho das Arvores,2930,237.77,12323,2837,Salvador,"Salvador, Caminho das Arvores","Caminho das Árvores, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-129.824.528,-384.583.033,"12 58m 56.8301s S, 38 27m 29.8919s W"
Caminho de Areia,775,62.92,12318,746,Salvador,"Salvador, Caminho de Areia","Caminho de Areia, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-129.306.224,-385.045.481,"12 55m 50.2406s S, 38 30m 16.3732s W"
Campinas de Piraja,1291,110.6,11673,1228,Salvador,"Salvador, Campinas de Piraja","Vila Campinas de Pirajá - Marechal Rondon, Marechal Rondom, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-12.915.225.849.999.900,-3.846.876.095.556.050,"12 54m 54.8131s S, 38 28m 7.53944s W"
Canabrava,1269,92.87,13664,1213,Salvador,"Salvador, Canabrava","Canabrava, São José do Mucambo, Esplanada, Região Geográfica Imediata de Alagoinhas, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-12.920.320,-38.419.885,"11 45m 41.1599s S, 38 7m 30.684s W"
