BAIRRO,CASOS_CONFIRMADOS,COEFICIENTE_INCIDENCIA,POPULACAO,RECUPERADOS,CIDADE,procurar,raw,LATITUDE,LONGITUDE,POINT
Itaigara,2366,217.58,10874,2258,Salvador,"Salvador, Itaigara","Itaigara, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-129.918.874,-384.659.443,"12 59m 30.7946s S, 38 27m 57.3995s W"
Itapua,6639,99.15,66961,6264,Salvador,"Salvador, Itapua","Itapuã, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-12.942.418,-3.835.874,"12 56m 32.7048s S, 38 21m 31.464s W"
Itinga,436,36.48,11951,416,Salvador,"Salvador, Itinga","Itinga, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-128.802.195,-383.599.894,"12 52m 48.7902s S, 38 21m 35.9618s W"
Jardim Armacao,2193,724.96,3025,2125,Salvador,"Salvador, Jardim Armacao","Jardim Armação, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-129.862.102,-38.438.865,"12 59m 10.3567s S, 38 26m 19.914s W"
Jardim Cajazeiras,582,76.86,7572,550,Salvador,"Salvador, Jardim Cajazeiras","Jardim Cajazeiras, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, 41230-080, Brasil",-129.173.516,-384.498.777,"12 55m 2.46576s S, 38 26m 59.5597s W"
Jardim das Margaridas,1397,304.22,4592,1351,Salvador,"Salvador, Jardim das Margaridas","Jardim das Margaridas, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-128.989.638,-383.580.566,"12 53m 56.2697s S, 38 21m 29.0038s W"
Jardim Nova Esperanca,1242,88.66,14008,1210,Salvador,"Salvador, Jardim Nova Esperanca","Vila Jardim Nova Esperança, Cajazeiras, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-1.290.723.615,-3.841.756.498.937.830,"12 54m 26.0501s S, 38 25m 3.23396s W"
Jardim Santo Inacio,879,101.38,8670,815,Salvador,"Salvador, Jardim Santo Inacio","Jardim Santo Inácio, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, 41230-080, Brasil",-129.293.279,-384.608.991,"12 55m 45.5804s S, 38 27m 39.2368s W"
Lapinha,142,28.38,5004,135,Salvador,"Salvador, Lapinha","Lapinha, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-129.553.714,-38.499.149,"12 57m 19.337s S, 38 29m 56.9364s W"
Liberdade,4916,117.6,41802,4702,Salvador,"Salvador, Liberdade","Liberdade, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-12.946.662,-384.939.829,"12 56m 47.9832s S, 38 29m 38.3384s W"
Lobato,2916,99.97,29169,2767,Salvador,"Salvador, Lobato","Lobato, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, 40750-110, Brasil",-129.220.268,-384.880.354,"12 55m 19.2965s S, 38 29m 16.9274s W"
Luiz Anselmo,1170,101.71,11503,1127,Salvador,"Salvador, Luiz Anselmo","Luiz Anselmo, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, 40260-365, Brasil",-129.757.196,-384.855.604,"12 58m 32.5906s S, 38 29m 8.01744s W"
Macaubas,612,71.53,8556,570,Salvador,"Salvador, Macaubas","Macaúbas, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-1.296.581,-384.960.329,"12 57m 56.916s S, 38 29m 45.7184s W"
Marechal Rondon,1327,68.16,19470,1255,Salvador,"Salvador, Marechal Rondon","Vila Campinas de Pirajá - Marechal Rondon, Marechal Rondom, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-12.915.225.849.999.900,-3.846.876.095.556.050,"12 54m 54.8131s S, 38 28m 7.53944s W"
Mares,198,83.93,2359,182,Salvador,"Salvador, Mares","Mares, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-129.419.032,-385.011.006,"12 56m 30.8515s S, 38 30m 3.96216s W"
Massaranduba,1889,93.7,20160,1769,Salvador,"Salvador, Massaranduba","Massaranduba, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, 40435-340, Brasil",-129.280.617,-384.965.471,"12 55m 41.0221s S, 38 29m 47.5696s W"
Mata Escura,3036,93.85,32349,2952,Salvador,"Salvador, Mata Escura","Mata Escura, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, 41213-122, Brasil",-129.322.976,-384.583.242,"12 55m 56.2714s S, 38 27m 29.9671s W"
Matatu,1726,163.73,10542,1643,Salvador,"Salvador, Matatu","Matatu, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, 40255-436, Brasil",-129.721.615,-384.941.016,"12 58m 19.7814s S, 38 29m 38.7658s W"
Mirantes de Periperi,162,0.0,0,156,Salvador,"Salvador, Mirantes de Periperi","Rio Sena, Periperi, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil, Praça Final de Linha Mirantes de Periperi",-12.873.744.250.000.000,-38.467.822.364.595.400,"12 52m 25.4793s S, 38 28m 4.16051s W"
Monte Serrat,614,93.17,6590,586,Salvador,"Salvador, Monte Serrat","Monte Serrat, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, 40425-060, Brasil",-129.285.763,-385.135.946,"12 55m 42.8747s S, 38 30m 48.9406s W"
Moradas da Lagoa,19,1.17,16189,17,Salvador,"Salvador, Moradas da Lagoa",,-12.853.843,-38.450.003,
Mussurunga,2301,74.62,30838,2174,Salvador,"Salvador, Mussurunga","Mussurunga, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, 41490-350, Brasil",-129.161.292,-383.750.491,"12 54m 58.0651s S, 38 22m 30.1768s W"
Narandiba,1108,77.12,14368,1073,Salvador,"Salvador, Narandiba","Narandiba, Avenida Edgard Santos, COHAB, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, 41192-005, Brasil",-129.619.553,-38.437.845,"12 57m 43.0391s S, 38 26m 16.242s W"
Nazare,1806,143.66,12571,1686,Salvador,"Salvador, Nazare","Nazaré, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-129.784.418,-385.076.399,"12 58m 42.3905s S, 38 30m 27.5036s W"
Nordeste de Amaralina,2757,125.97,21887,2640,Salvador,"Salvador, Nordeste de Amaralina","Nordeste de Amaralina, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, 41905-365, Brasil",-130.098.052,-38.473.546,"13 0m 35.2987s S, 38 28m 24.7656s W"
Nova Brasilia,2567,153.57,16716,2439,Salvador,"Salvador, Nova Brasilia","Salvador, Anagé, Região Geográfica Imediata de Vitória da Conquista, Região Geográfica Intermediária de Vitória da Conquista, Bahia, Região Nordeste, Brasil",-12.919.903,-38.406.869,"14 42m 12.2159s S, 41 3m 9.52812s W"
Nova Constituinte,82,8.71,9410,81,Salvador,"Salvador, Nova Constituinte","Vila Nova Constituinte, Coutos, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-1.285.331.875,-38.464.375.213.237.100,"12 51m 11.9475s S, 38 27m 51.7508s W"
Nova Esperanca,526,78.13,6732,509,Salvador,"Salvador, Nova Esperanca","Nova Esperança, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-128.426.632,-383.729.276,"12 50m 33.5875s S, 38 22m 22.5394s W"
Nova Sussuarana,177,14.5,12206,166,Salvador,"Salvador, Nova Sussuarana","Nova Sussuarana, Novo Horizonte, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, 41218-072, Brasil",-129.350.792,-38.437.649,"12 56m 6.28512s S, 38 26m 15.5364s W"
Novo Horizonte,795,61.38,12952,771,Salvador,"Salvador, Novo Horizonte","Novo Horizonte, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, 41218-072, Brasil",-129.409.831,-38.439.391,"12 56m 27.5392s S, 38 26m 21.8076s W"
Novo Marotinho,182,42.94,4238,175,Salvador,"Salvador, Novo Marotinho","Novo Marotinho, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-129.155.472,-384.248.704,"12 54m 55.9699s S, 38 25m 29.5334s W"
Ondina,2032,100.11,20298,1907,Salvador,"Salvador, Ondina","Ondina, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-13.010.398,-38.511.699,"13 0m 37.4328s S, 38 30m 42.1164s W"
Palestina,333,55.44,6007,311,Salvador,"Salvador, Palestina","Palestina, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, 41341-590, Brasil",-128.735.643,-384.164.029,"12 52m 24.8315s S, 38 24m 59.0504s W"
Paripe,4119,74.84,55039,3925,Salvador,"Salvador, Paripe","Paripe, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, 40800-570, Brasil",-128.380.062,-384.692.031,"12 50m 16.8223s S, 38 28m 9.13116s W"
Patamares,3166,514.29,6156,3105,Salvador,"Salvador, Patamares","Patamares, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-129.469.192,-384.018.961,"12 56m 48.9091s S, 38 24m 6.82596s W"
Pau da Lima,2359,95.53,24693,2237,Salvador,"Salvador, Pau da Lima","Vila Pau da Lima, Jardim Cajazeiras, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-12.922.895.950.000.000,-38.445.968.419.006.600,"12 55m 22.4254s S, 38 26m 45.4863s W"
Pau Miudo,2727,131.49,20740,2587,Salvador,"Salvador, Pau Miudo","Pau Miúdo, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, 40320-350, Brasil",-129.599.036,-38.480.808,"12 57m 35.653s S, 38 28m 50.9088s W"
Periperi,3360,71.22,47179,3091,Salvador,"Salvador, Periperi","Periperi, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, 40720-050, Brasil",-128.633.545,-384.736.719,"12 51m 48.0762s S, 38 28m 25.2188s W"
Pernambues,7807,120.14,64983,7557,Salvador,"Salvador, Pernambues","Pernambués, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-129.699.369,-384.661.334,"12 58m 11.7728s S, 38 27m 58.0802s W"
Pero Vaz,1902,86.24,22054,1789,Salvador,"Salvador, Pero Vaz","Pero Vaz, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, 40335-000, Brasil",-129.499.279,-384.886.385,"12 56m 59.7404s S, 38 29m 19.0986s W"
Piata,3013,263.35,11441,2907,Salvador,"Salvador, Piata","Piatã, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-129.483.348,-383.873.458,"12 56m 54.0053s S, 38 23m 14.4449s W"
Piraja,3143,94.27,33341,3005,Salvador,"Salvador, Piraja","Pirajá, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, 40290-200, Brasil",-128.997.883,-384.611.127,"12 53m 59.2379s S, 38 27m 40.0057s W"
Pituacu,2141,143.87,14881,2062,Salvador,"Salvador, Pituacu","Pituaçu, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-129.651.749,-384.143.371,"12 57m 54.6296s S, 38 24m 51.6136s W"
Pituba,9738,149.45,65160,9368,Salvador,"Salvador, Pituba","Pituba, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-129.992.595,-384.554.978,"12 59m 57.3342s S, 38 27m 19.7921s W"
Plataforma,3408,100.14,34034,3196,Salvador,"Salvador, Plataforma","Plataforma, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, 40710-500, Brasil",-129.004.393,-384.868.515,"12 54m 1.58148s S, 38 29m 12.6654s W"
Porto Seco Piraja,11,152.78,72,10,Salvador,"Salvador, Porto Seco Piraja","Porto Seco Pirajá, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, 40290-200, Brasil",-129.104.078,-384.548.988,"12 54m 37.4681s S, 38 27m 17.6357s W"
Praia Grande,1028,168.77,6091,970,Salvador,"Salvador, Praia Grande","Praia Grande, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-128.730.561,-38.475.688,"12 52m 23.002s S, 38 28m 32.4768s W"
Resgate,704,104.95,6708,682,Salvador,"Salvador, Resgate","Resgate, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-129.616.245,-384.638.779,"12 57m 41.8482s S, 38 27m 49.9604s W"
Retiro,151,576.34,262,145,Salvador,"Salvador, Retiro","Retiro, Rodovia Engenheiro Vasco Filho, Horto Bela Vista, Bom Retiro, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, 41098-030, Brasil",-1.295.600.215,-3.847.212.849.657.870,"12 57m 21.6077s S, 38 28m 19.6626s W"
Ribeira,2156,110.12,19578,2043,Salvador,"Salvador, Ribeira","Ribeira, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-129.160.012,-384.969.272,"12 54m 57.6043s S, 38 29m 48.9379s W"
Rio Sena,1015,61.97,16379,962,Salvador,"Salvador, Rio Sena","Rio Sena, Alto da Terezinha, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, 40711-160, Brasil",-128.792.492,-38.478.344,"12 52m 45.2971s S, 38 28m 42.0384s W"
Rio Vermelho,3061,166.96,18334,2943,Salvador,"Salvador, Rio Vermelho","Rio Vemelho, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-13.009.615,-38.498.587,"13 0m 34.614s S, 38 29m 54.9132s W"
Roma,340,93.51,3636,304,Salvador,"Salvador, Roma","Roma, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-129.349.632,-385.038.883,"12 56m 5.86752s S, 38 30m 13.9979s W"
Saboeiro,1173,175.55,6682,1136,Salvador,"Salvador, Saboeiro","Segunda Travessa do Saboeiro, COHAB, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, 41180-780, Brasil",-129.578.268,-384.474.626,"12 57m 28.1765s S, 38 26m 50.8654s W"
Santa Cruz,4275,157.85,27083,4119,Salvador,"Salvador, Santa Cruz","Santa Cruz, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-130.042.766,-384.754.641,"13 0m 15.3958s S, 38 28m 31.6708s W"
Santa Luzia,22,2.86,7702,20,Salvador,"Salvador, Santa Luzia","Santa Luzia (Monotrilho), Rua Voluntarios da Patria, Santa Luzia do Lobato, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, 40395-200, Brasil",-1.293.524.655,-38.490.180.134.629.500,"12 56m 6.88758s S, 38 29m 24.6485s W"
Santa Monica,554,74.98,7389,534,Salvador,"Salvador, Santa Monica","Santa Mônica, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, 40366-110, Brasil",-1.294.875,-384.840.299,"12 56m 55.5s S, 38 29m 2.50764s W"
Santo Agostinho,23,4.8,4796,21,Salvador,"Salvador, Santo Agostinho","Santo Agostinho, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-129.742.316,-384.974.353,"12 58m 27.2338s S, 38 29m 50.7671s W"
Santo Antonio,392,94.0,4170,356,Salvador,"Salvador, Santo Antonio","Santo Antônio, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-129.649.736,-385.041.867,"12 57m 53.905s S, 38 30m 15.0721s W"
Sao Caetano,3635,71.05,51159,3442,Salvador,"Salvador, Sao Caetano","São Caetano, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, 40391-161, Brasil",-129.327.242,-384.810.964,"12 55m 57.8071s S, 38 28m 51.947s W"
Sao Cristovao,4533,84.09,53906,4337,Salvador,"Salvador, Sao Cristovao","São Cristóvão, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, 41510-000, Brasil",-129.082.767,-383.610.352,"12 54m 29.7961s S, 38 21m 39.7267s W"
Sao Goncalo,1295,74.96,17275,1243,Salvador,"Salvador, Sao Goncalo","São Gonçalo do Retiro, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, 41150-000, Brasil",-129.519.704,-384.684.976,"12 57m 7.09344s S, 38 28m 6.59136s W"
Sao Joao do Cabrito,350,16.44,21284,325,Salvador,"Salvador, Sao Joao do Cabrito","Rua Senhor do Bonfim do Cabrito, Vila São João de Plataforma, Plataforma, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, 40710-500, Brasil",-128.996.459,-384.771.463,"12 53m 58.7252s S, 38 28m 37.7267s W"
Sao Marcos,5083,177.78,28591,4920,Salvador,"Salvador, Sao Marcos","Rua Salvador, São Marcos, Região de Serra Sede, Serra, Região Geográfica Imediata de Vitória, Região Metropolitana da Grande Vitória, Região Geográfica Intermediária de Vitória, Espírito Santo, Região Sudeste, 29177-115, Brasil",-12.929.550,-38.426.776,"20 7m 32.5373s S, 40 19m 13.1484s W"
Sao Rafael,209,8.1,25790,184,Salvador,"Salvador, Sao Rafael","São Rafael, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, 41250-403, Brasil",-129.366.815,-384.245.897,"12 56m 12.0534s S, 38 25m 28.5229s W"
Sao Tome,421,58.42,7207,396,Salvador,"Salvador, Sao Tome","São Tomé de Paripe, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, 40800-570, Brasil",-128.175.967,-384.854.044,"12 49m 3.34812s S, 38 29m 7.45584s W"
Saramandaia,287,25.46,11272,277,Salvador,"Salvador, Saramandaia","Saramandaia, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-129.741.514,-384.686.548,"12 58m 26.945s S, 38 28m 7.15728s W"
Saude,402,64.51,6232,381,Salvador,"Salvador, Saude","Saúde, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-129.725.454,-38.506.182,"12 58m 21.1634s S, 38 30m 22.2552s W"
Sete de Abril,1468,80.59,18215,1400,Salvador,"Salvador, Sete de Abril","Vila Bosque Real - 7 de Abril, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-1.291.906.995,-3.843.447.894.533.590,"12 55m 8.65182s S, 38 26m 4.1242s W"
Stella Maris,3094,149.9,20641,2981,Salvador,"Salvador, Stella Maris","Stella Maris, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-129.377.602,-383.346.758,"12 56m 15.9367s S, 38 20m 4.83288s W"
STIEP,1574,115.35,13646,1511,Salvador,"Salvador, STIEP","STIEP, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-129.804.811,-384.465.942,"12 58m 49.732s S, 38 26m 47.7391s W"
Sussuarana,3439,119.37,28809,3282,Salvador,"Salvador, Sussuarana","Sussuarana, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, 41213-122, Brasil",-129.347.768,-384.460.352,"12 56m 5.19648s S, 38 26m 45.7267s W"
Tororo,583,123.6,4717,562,Salvador,"Salvador, Tororo","Tororó, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-129.846.057,-385.092.005,"12 59m 4.58052s S, 38 30m 33.1218s W"
Trobogy,952,133.0,7158,930,Salvador,"Salvador, Trobogy","Trobogy, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-129.329.398,-384.008.646,"12 55m 58.5833s S, 38 24m 3.11256s W"
Uruguai,2734,90.02,30370,2578,Salvador,"Salvador, Uruguai","Uruguai, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-129.345.334,-384.950.228,"12 56m 4.32024s S, 38 29m 42.0821s W"
Vale das Pedrinhas,292,56.57,5162,281,Salvador,"Salvador, Vale das Pedrinhas","Vale das Pedrinhas, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-130.083.485,-384.823.472,"13 0m 30.0546s S, 38 28m 56.4499s W"
Vale dos Lagos,183,14.23,12860,176,Salvador,"Salvador, Vale dos Lagos","Colégio Estadual Vale dos Lagos, Estrada da Muriçoca, São Rafael, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, 41250-500, Brasil",-129.335.843,-3.842.150.383.255.650,"12 56m 0.90348s S, 38 25m 17.4138s W"
Valeria,1748,66.69,26210,1634,Salvador,"Salvador, Valeria","Valéria, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, 41300-025, Brasil",-12.861.071,-38.433.227,"12 51m 39.8556s S, 38 25m 59.6172s W"
Vila Canaria,1071,95.47,11218,1034,Salvador,"Salvador, Vila Canaria","Vila Canária, Jardim Cajazeiras, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-1.291.400.765,-3.844.336.355.894.240,"12 54m 50.4275s S, 38 26m 36.1088s W"
Vila Laura,2267,156.09,14524,2194,Salvador,"Salvador, Vila Laura","Vila Laura, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-129.707.211,-384.882.326,"12 58m 14.596s S, 38 29m 17.6374s W"
Vila Ruy Barbosa/Jardim Cruzeiro,1575,80.99,19448,1488,Salvador,"Salvador, Vila Ruy Barbosa/Jardim Cruzeiro","Vila Ruy Barbosa / Jardim Cruzeiro, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-129.316.013,-384.994.948,"12 55m 53.7647s S, 38 29m 58.1813s W"
Vista Alegre,134,0.0,0,131,Salvador,"Salvador, Vista Alegre","Vista Alegre, Coutos, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-12.852.824,-3.846.139.505.695.410,"12 51m 10.1664s S, 38 27m 41.0222s W"
Vitoria,766,146.6,5225,727,Salvador,"Salvador, Vitoria","Vitória, Salvador, Região Geográfica Imediata de Salvador, Região Metropolitana de Salvador, Região Geográfica Intermediária de Salvador, Bahia, Região Nordeste, Brasil",-129.929.784,-385.263.187,"12 59m 34.7222s S, 38 31m 34.7473s W"
