BAIRRO,CASOS_CONFIRMADOS,COEFICIENTE_INCIDENCIA,POPULACAO,RECUPERADOS
"Sete de Abril",1468,80.59,18215,1400
"Stella Maris",3094,149.90,20641,2981
STIEP,1574,115.35,13646,1511
Sussuarana,3439,119.37,28809,3282
Tororo,583,123.60,4717,562
Trobogy,952,133.00,7158,930
Uruguai,2734,90.02,30370,2578
"Vale das Pedrinhas",292,56.57,5162,281
"Vale dos Lagos",183,14.23,12860,176
Valeria,1748,66.69,26210,1634
"Vila Canaria",1071,95.47,11218,1034
"Vila Laura",2267,156.09,14524,2194
"Vila Ruy Barbosa/Jardim Cruzeiro",1575,80.99,19448,1488
"Vista Alegre",134,.00,0,131
Vitoria,766,146.60,5225,727
